City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Stawell,AU,-37.05,142.7667,54.95,69,97,17.56,overcast clouds
250,Rayong,TH,12.8333,101.4333,79.48,80,67,0.58,broken clouds
251,Kununurra,AU,-15.7667,128.7333,84.18,65,12,8.05,few clouds
252,Kirkuk,IQ,35.4681,44.3922,78.91,27,0,4.97,clear sky
253,Kapuskasing,CA,49.4169,-82.4331,49.44,79,61,4.54,light rain
254,Coihaique,CL,-45.5752,-72.0662,39.15,87,40,5.75,scattered clouds
255,Nianzishan,CN,47.5167,122.8833,49.46,91,100,4.65,overcast clouds
256,Sayyan,YE,15.1718,44.3244,64.08,28,68,5.97,broken clouds
257,Anju,KP,39.6178,125.6647,72.14,76,100,2.84,overcast clouds
258,San Jeronimo,PE,-11.9472,-75.2829,52.88,67,22,4.36,few clouds
259,Kahului,US,20.8947,-156.47,86.02,65,40,24.16,scattered clouds
260,Armidale,AU,-30.5167,151.65,59.81,27,0,4.88,clear sky
261,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.4,86,8,9.66,clear sky
262,Byron Bay,AU,-28.65,153.6167,76.95,66,38,9.66,scattered clouds
263,Bandarbeyla,SO,9.4942,50.8122,79.0,78,100,22.66,overcast clouds
264,Paita,PE,-5.0892,-81.1144,64.69,82,0,14.72,clear sky
265,Dalvik,IS,65.9702,-18.5286,48.87,79,100,7.58,overcast clouds
266,Naryan-Mar,RU,67.6713,53.087,37.62,78,100,17.16,overcast clouds
267,Cidreira,BR,-30.1811,-50.2056,64.04,96,16,5.01,few clouds
268,Araouane,ML,18.9048,-3.5265,95.22,17,46,8.21,scattered clouds
269,Clyde River,CA,70.4692,-68.5914,29.71,82,100,3.22,light snow
270,Namatanai,PG,-3.6667,152.4333,84.15,72,78,9.08,light rain
271,Parrsboro,CA,45.4001,-64.332,69.26,95,87,3.87,overcast clouds
272,Georgetown,MY,5.4112,100.3354,78.89,89,20,4.61,few clouds
273,Pavlodar,KZ,52.3,76.95,46.2,66,40,15.66,scattered clouds
274,Izumo,JP,35.3667,132.7667,74.3,73,85,13.29,overcast clouds
275,Mangaratiba,BR,-22.9597,-44.0406,69.15,94,9,0.96,clear sky
276,Mandeville,JM,18.0417,-77.5071,70.52,92,30,2.04,scattered clouds
277,Alpinopolis,BR,-20.8636,-46.3881,78.8,33,96,0.34,overcast clouds
278,Nguruka,TZ,-5.1092,31.0419,68.02,77,100,2.04,light rain
279,Baykit,RU,61.67,96.37,43.84,88,90,0.89,overcast clouds
280,Lukovetskiy,RU,64.2956,41.9211,39.18,87,97,4.18,overcast clouds
281,Camacupa,AO,-12.0167,17.4833,69.91,55,93,3.8,overcast clouds
282,Beira,MZ,-19.8436,34.8389,71.69,64,40,12.66,scattered clouds
283,Kyshtovka,RU,56.555,76.6271,40.51,97,100,4.61,light rain
284,Harqalah,TN,36.0303,10.509,78.66,78,0,6.91,clear sky
285,Hecelchakan,MX,20.1667,-90.1333,83.98,61,100,4.12,overcast clouds
286,Marawi,PH,7.9986,124.2928,73.65,68,59,0.43,broken clouds
287,Zambezi,ZM,-13.5432,23.1047,68.13,37,11,5.14,few clouds
288,Namibe,AO,-15.1961,12.1522,59.45,86,8,3.38,clear sky
289,Terpni,GR,40.9167,23.4833,73.65,81,74,5.01,broken clouds
290,Ahipara,NZ,-35.1667,173.1667,57.22,64,100,9.19,overcast clouds
